"id","name","degrees","qualification_type","created_at"
399,"commercial practice","[{""id"": 63, ""name"": ""diploma"", ""created"": ""2023-01-11T16:34:38.712726Z"", ""details"": {""shortname"": ""diploma"", ""qualification_type"": {""id"": 4, ""name"": ""diploma""}}, ""updated"": ""2023-01-11T16:34:38.712726Z"", ""priority"": false}]","diploma","2023-01-11 16:31:27.396083+00"
400,"fashion technology","[{""id"": 45, ""name"": ""bachelor of vocation""}]","degree","2023-01-11 16:31:27.397797+00"
401,"dress designing and garment manufacturing","[{""id"": 63, ""name"": ""diploma"", ""created"": ""2023-01-11T16:34:38.712726Z"", ""details"": {""shortname"": ""diploma"", ""qualification_type"": {""id"": 4, ""name"": ""diploma""}}, ""updated"": ""2023-01-11T16:34:38.712726Z"", ""priority"": false}]","diploma","2023-01-11 16:31:27.399373+00"
402,"education","[{""id"": 63, ""name"": ""diploma""}]","diploma","2023-01-11 16:31:27.400962+00"
403,"instrumentation technology","[{""id"": 63, ""name"": ""diploma""}]","diploma","2023-01-11 16:31:27.402673+00"
404,"electrical engineering","[{""id"": 63, ""name"": ""diploma""}]","diploma","2023-01-11 16:31:27.404256+00"
405,"electronics and telecommunications engineering","[{""id"": 63, ""name"": ""diploma"", ""created"": ""2023-01-11T16:34:38.712726Z"", ""details"": {""shortname"": ""diploma"", ""qualification_type"": {""id"": 4, ""name"": ""diploma""}}, ""updated"": ""2023-01-11T16:34:38.712726Z"", ""priority"": false}]","diploma","2023-01-11 16:31:27.405838+00"
406,"fisheries","[{""id"": 63, ""name"": ""diploma""}]","diploma","2023-01-11 16:31:27.407423+00"
407,"information technology","[{""id"": 63, ""name"": ""diploma"", ""created"": ""2023-01-11T16:34:38.712726Z"", ""details"": {""shortname"": ""diploma"", ""qualification_type"": {""id"": 4, ""name"": ""diploma""}}, ""updated"": ""2023-01-11T16:34:38.712726Z"", ""priority"": false}]","diploma","2023-01-11 16:31:27.409011+00"
408,"mechanical engineering","[{""id"": 63, ""name"": ""diploma""}]","diploma","2023-01-11 16:31:27.410599+00"
409,"ophthalmic medicine & surgery","null","diploma","2023-01-11 16:31:27.412209+00"
